Test ID,Module,Status,Timestamp,Tester
TID-4594,Login,Pass,2025-06-17 10:31:34,N/A
TID-6253,Dashboard,Fail,2025-06-17 10:23:39,Success
TID-3981,Login,Fail,2025-06-17 10:49:59,Success
TID-2424,Login,Pass,2025-06-17 10:52:26,Timeout
TID-9954,Dashboard,Fail,2025-06-17 10:45:53,N/A
TID-6975,Dashboard,Pass,2025-06-17 10:18:45,Success
TID-4249,Dashboard,Pass,2025-06-17 10:42:48,Success
TID-9537,Reports,Pass,2025-06-17 10:25:14,Timeout
TID-9982,Reports,Pass,2025-06-17 10:17:58,Timeout
TID-5372,Reports,Fail,2025-06-17 10:18:45,Timeout
